Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Summit White,Jet Black,Front-wheel Drive,24–29,Gasoline,Automatic,"1.5L I-4 gasoline direct injection, DOHC, variable valve control",3GKALMEG2RL106382,RL106382,3 mi.,2024 GMC Terrain SLE,31470.0,$,https://www.cars.com/vehicledetail/c010877e-5493-48ad-be49-de859044dcf0/
Stone Gray Metallic,Baja,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W3BTXPEE11770,F27356,–,2023 Ford F-350 XLT,69895.0,$,https://www.cars.com/vehicledetail/edefd81c-e3b5-4708-9397-f94545835309/
Oxford White,Black Onyx,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3FTTW8F97PRA99409,23437,0 mi.,2023 Ford Maverick XL,31055.0,$,https://www.cars.com/vehicledetail/35888608-2aee-40b4-8141-92be1280016a/
2t Red Blk Roof,Charcoal,Four-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI DOHC,5N1DR3CD8RC220419,NN8272,4 mi.,2024 Nissan Pathfinder SL,47477.0,$,https://www.cars.com/vehicledetail/55606e7c-9f84-49b6-a47d-df1039979aa6/
Shimmering Silver,Meteor Blue,Front-wheel Drive,,,1-Speed Automatic,Electric,KM8J84A67PU033924,H33772,13 mi.,2023 Hyundai NEXO Limited,60920.0,$,https://www.cars.com/vehicledetail/93e536c2-8348-468a-bcac-b4c251149f44/
Crystal White Tri-Coat,Jet Black,Rear-wheel Drive,23–33,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1G6DN5RK1P0149065,P0149065,9 mi.,2023 Cadillac CT5 Premium Luxury RWD,54835.0,$,https://www.cars.com/vehicledetail/64eccd3a-82fd-4125-9052-f0d855b8ec89/
Sterling Gray Metallic,Jet Black,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3GNKBHR47RS155505,C2347,1 mi.,2024 Chevrolet Blazer 2LT,43390.0,$,https://www.cars.com/vehicledetail/1d15fa59-c67c-4be1-83ae-bc2006faa93e/
Jet Black Mica,Black W/ Gray,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,7MMVABAM8RN160949,M39294,1 mi.,2024 Mazda CX-50 2.5 S Select Package,31960.0,$,https://www.cars.com/vehicledetail/473da376-4675-4af5-9579-7ceb0d5319ba/
Blue,Black,Front-wheel Drive,27–35,Gasoline,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo,3KPF44AC6PE678509,K60116,5 mi.,2023 Kia Forte GT,27590.0,$,https://www.cars.com/vehicledetail/89084403-df9d-4d06-aeda-fc0aa1a3d2a4/
Diamond Black,Global Black,Four-wheel Drive,14–20,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJVFPXPS541546,NP004,10 mi.,2023 Jeep Grand Wagoneer Series II,100785.0,$,https://www.cars.com/vehicledetail/95d36e65-7cdd-4b37-88b3-5cd2abbc7316/
Gray / Black,Black,Four-wheel Drive,17–21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR3G5336063,G5336063,"122,752 mi.",2016 Toyota 4Runner Trail,28687.0,$,https://www.cars.com/vehicledetail/dc687f7d-fabd-4ef0-a5df-3de91a12b3fb/
Magnet Gray,Okapi Brown,All-wheel Drive,,,Automatic,Electric,WA15AAGE6RB013101,AU11026,10 mi.,2024 Audi Q8 e-tron Premium,79995.0,$,https://www.cars.com/vehicledetail/785a3a80-7105-4c9b-be33-d2a7b21404a5/
Obsidian Black Metallic,Black,All-wheel Drive,,,1-Speed Automatic,Electric,W1KEG5DB7PF015957,PF015957,2 mi.,2023 Mercedes-Benz AMG EQE Base,113400.0,$,https://www.cars.com/vehicledetail/59227967-41a0-4012-99f1-d6aa6f39f898/
Black,Gray,Four-wheel Drive,25,Gasoline,8-Speed,1.5L I4 16V GDI DOHC Turbo,JA4ATWAA5RZ000519,29001,5 mi.,2024 Mitsubishi Eclipse Cross ,32695.0,$,https://www.cars.com/vehicledetail/d022acb8-1fc4-4a2f-ad5d-e4fddb2b4e66/
Fathom Blue Pearlcoat,Black,Front-wheel Drive,–,Hybrid,Automatic CVT,3.6L V6 24V MPFI DOHC Hybrid,2C4RC1S7XPR630977,PR630977,10 mi.,2023 Chrysler Pacifica Hybrid Limited,61675.0,$,https://www.cars.com/vehicledetail/10c4d601-ff73-4feb-9b6c-01a39f3f2e1f/
Magnetite Gray,Black,All-wheel Drive,26–33,Gasoline,continuously variable automatic,"2.5L H-4 gasoline direct injection, DOHC, variable valve control",JF2SKAEC2PH540913,231737,0 mi.,2023 Subaru Forester Premium,32332.0,$,https://www.cars.com/vehicledetail/7c56af61-dd18-4d8c-9b9f-6beca56952a4/
Black Clearcoat,Black,Four-wheel Drive,20–24,Gasoline,8-Speed Automatic,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, premi",1C4PJXDN6RW103010,J103010,32 mi.,2024 Jeep Wrangler Sport S,48570.0,$,https://www.cars.com/vehicledetail/4cd75b36-0da7-41ef-abab-314771bb8a85/
Star White,Ebony,Four-wheel Drive,23–24,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FM5K8HC8PGB53137,PFL230163,2 mi.,2023 Ford Explorer Platinum,61825.0,$,https://www.cars.com/vehicledetail/c53bf21d-daa2-4b53-8a00-32fd07095fb4/
Gray Metallic,Black,Rear-wheel Drive,23–31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,3MW49FS00R8D85891,R8D85891,13 mi.,2024 BMW M340 i,64620.0,$,https://www.cars.com/vehicledetail/5e8e0bd4-ecf7-4599-9d1a-251c760c2c33/
Arctic Gray Metallic,Black,All-wheel Drive,20–26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C59KLL40860,NU1851,"63,412 mi.",2019 BMW X5 xDrive40i,35485.0,$,https://www.cars.com/vehicledetail/d289993b-e862-49cb-a5c8-e9670c96e452/
Crystal White Pearl,Black,All-wheel Drive,21–27,Gasoline,6-Speed Manual,2.0L H4 16V GDI DOHC Turbo,JF1VA1C63K9813359,3R043AA,"59,335 mi.",2019 Subaru WRX Premium,25487.0,$,https://www.cars.com/vehicledetail/1d4b2cd1-57a3-4163-b297-8c1ad9859f7c/
Iconic Silver Metallic,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,7.3L V8 16V MPFI OHV,1FT8X2BN7PEC40923,T9122,3 mi.,2023 Ford F-250 Lariat,69835.0,$,https://www.cars.com/vehicledetail/494d6903-af7b-4448-aa3e-022bcc67af25/
Dynamic Blue Metallic,Jet Black,Four-wheel Drive,21–23,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GTUUEEL1RZ137737,G11138,2 mi.,2024 GMC Sierra 1500 AT4,74150.0,$,https://www.cars.com/vehicledetail/fdfbe540-0996-47d5-9d03-7b625c16628b/
Red,Beige,–,17–23,Gasoline,6-Speed Manual,3.0L I6 24V SPFI DOHC Turbo,JT2JA82J7R0012559,0012559,"129,049 mi.",1994 Toyota Supra Turbo,84999.0,$,https://www.cars.com/vehicledetail/39412f1d-ae48-48d0-8f3e-940d631fddee/
Pearl,Black,All-wheel Drive,22–31,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,WVWUF7AU7GW173998,9020,"80,021 mi.",2016 Volkswagen Golf R 4-Door,24998.0,$,https://www.cars.com/vehicledetail/7f52edf5-67a6-4708-a429-8edc0b0963d7/
Ibis White,Black,Front-wheel Drive,28–38,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WAUAUDGY6RA016235,A24-16,10 mi.,2024 Audi A3 Premium,40680.0,$,https://www.cars.com/vehicledetail/5b048946-d65a-4770-a12f-767ec00ba5c2/
Dark Ash Metallic,Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,2GC4YNEY9R1125697,R1125697,1 mi.,2024 Chevrolet Silverado 2500 LT,72140.0,$,https://www.cars.com/vehicledetail/1eb08ecb-787b-45f3-a7c1-041658888b31/
San Remo Green Metallic,Black,All-wheel Drive,23–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA73AV08RFR80525,RFR80525,10 mi.,2024 BMW 430 Gran Coupe i xDrive,59420.0,$,https://www.cars.com/vehicledetail/f79d86a9-a2d0-48a3-ad45-91a09610be8f/
Agate Black Metallic,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT7W2BTXKED62505,W19368,"60,361 mi.",2019 Ford F-250 Platinum,64991.0,$,https://www.cars.com/vehicledetail/165b3b1d-823e-4122-beef-1517e69eff03/
Lime,Black,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR3P6166618,P121BW01,–,2023 Toyota 4Runner TRD Off Road Premium,48039.0,$,https://www.cars.com/vehicledetail/7b535b9b-227c-465b-b33c-f583dcda845d/
High Velocity Clearcoat,Black,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXDG9PW616500,20907,3 mi.,2023 Jeep Wrangler Sport,58475.0,$,https://www.cars.com/vehicledetail/c20b8701-f3ec-4f30-a9cc-8cbba861d326/
Limestone Gray,Black,All-wheel Drive,22–31,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,WVWWF7AU2HW097536,E6471P,"68,170 mi.",2017 Volkswagen Golf R 4-Door,27133.0,$,https://www.cars.com/vehicledetail/44aa3a41-66c5-4a41-abc4-45e7bdf67285/
Black,Jet Black,Four-wheel Drive,18–21,Gasoline,Automatic,5.3L V8 16V GDI OHV,2GCUDEED1R1131163,44029,10 mi.,2024 Chevrolet Silverado 1500 RST,66125.0,$,https://www.cars.com/vehicledetail/6ad09bc5-d381-41da-b83e-509db1d8ab7b/
Pitch Black Clearcoat,Black,Rear-wheel Drive,13–21,Gasoline,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,2C3CDZL90PH586340,231486,3 mi.,2023 Dodge Challenger SRT Hellcat,199000.0,$,https://www.cars.com/vehicledetail/acaf65a1-d4d9-4c41-a49d-561d98062b10/
Mars Red,Natural Beige / Black,All-wheel Drive,19–27,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDKJ8JB7DF184480,M20134480,"60,907 mi.",2013 Mercedes-Benz E-Class E 350 4MATIC,15201.0,$,https://www.cars.com/vehicledetail/d4c7a53f-6188-409d-87d6-981f43cf0bd8/
Black Sapphire Metallic,Black,All-wheel Drive,15–21,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBS83CH05PCL57921,BC-65787A,"6,639 mi.",2023 BMW M5 Base,115995.0,$,https://www.cars.com/vehicledetail/012881e5-a62b-4d16-926d-803164ed264d/
Cosmos Blue Metallic,Pearl Beige,All-wheel Drive,19–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WA1AECF33L1112213,MU0554W,"29,769 mi.",2020 Audi Q3 45 Premium,27998.0,$,https://www.cars.com/vehicledetail/a448c8e1-ef6c-4091-bbad-d3f8cfe44417/
Atomic Silver,Red,All-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2YZMDA1LC218344,15674,"60,634 mi.",2020 Lexus RX 350 F Sport Performance,38850.0,$,https://www.cars.com/vehicledetail/b7b51e5e-c10e-45cf-b236-739943647b67/
Ice Silver Metallic,Black,All-wheel Drive,25–32,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,4S4BSABC9K3296844,K3296844PJ,"86,583 mi.",2019 Subaru Outback 2.5i,21500.0,$,https://www.cars.com/vehicledetail/77e8e65e-ed53-42a6-ae49-2c50366e4c49/
White Platinum Clearcoat Metallic,Light Dune,All-wheel Drive,15–21,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,2LMHJ5AT6JBL02088,65530B,"82,225 mi.",2018 Lincoln MKT Reserve,19550.0,$,https://www.cars.com/vehicledetail/48ebeeb1-e8d5-4d90-b385-5910ac76bc1b/
White,Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,3C6TR5EJ9KG581702,MU0861,"54,932 mi.",2019 RAM 2500 Power Wagon,49699.0,$,https://www.cars.com/vehicledetail/d5c8aaf7-6701-444e-bf98-0e6b95145e56/
Velvet Red Pearlcoat,Global Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4RJKET1P8706473,8968P,682 mi.,2023 Jeep Grand Cherokee L Summit,68810.0,$,https://www.cars.com/vehicledetail/9aa8a948-5233-4bb5-8ab1-787e24490aac/
Agate Black Metallic,Ebony,Four-wheel Drive,16–21,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK2AT0MEA26685,PC5243,"69,500 mi.",2021 Ford Expedition Max Limited,43995.0,$,https://www.cars.com/vehicledetail/056dc265-b2a1-4d55-9207-5bd2883fab57/
White,Graphite,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFDW5F10GX497159,TPTK5716,"124,796 mi.",2016 Toyota Tundra SR5,28599.0,$,https://www.cars.com/vehicledetail/78d49fbf-d933-4bcc-b0b9-4e1febdd4f31/
Blue,White,Four-wheel Drive,–,Hybrid,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,5TFVC5DB5NX012858,B11216,"1,028 mi.",2022 Toyota Tundra Hybrid Capstone,72990.0,$,https://www.cars.com/vehicledetail/ef940845-a9f8-4e6e-893e-9ab818a2303c/
Titanium Silver,Black,Front-wheel Drive,23–34,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,5XXGM4A76FG489341,FG489341M,"28,222 mi.",2015 Kia Optima LX,13000.0,$,https://www.cars.com/vehicledetail/841899dc-20dc-4bf8-87a4-0e8dee89f9b4/
Majestic Black Pearl,Red,All-wheel Drive,19–25,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",5J8YE1H01PL037230,311195,0 mi.,2023 Acura MDX A-Spec,61745.0,$,https://www.cars.com/vehicledetail/5ddf59ee-59fe-4cbd-8123-2f348fad8996/
Black Sapphire Metallic,Black,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UX23EM07R9T57674,R9T57674,16 mi.,2024 BMW X7 xDrive40i,94945.0,$,https://www.cars.com/vehicledetail/53bc1c0b-4120-40ac-b686-da8fb5650035/
Ebony Black,–,Front-wheel Drive,25–33,Gasoline,Automatic,"2.5L I-4 port/direct injection, DOHC, CVVT variable valve contro",5XYK33DF3RG155648,K4921,10 mi.,2024 Kia Sportage S,30590.0,$,https://www.cars.com/vehicledetail/b9c10fab-f286-4422-9623-8839f0abaa7b/
Polar White,Bahia Brown,All-wheel Drive,18–23,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFF5KE8RB065383,240096,8 mi.,2024 Mercedes-Benz GLS 450 4MATIC,99375.0,$,https://www.cars.com/vehicledetail/23099858-55dc-47b6-8213-0eb98d47546d/
Gray Metallic,Black Onyx,All-wheel Drive,,,1-Speed Automatic,Electric,3FMTK4SE8PMA37338,CP4334,5 mi.,2023 Ford Mustang Mach-E GT,59785.0,$,https://www.cars.com/vehicledetail/7b19e5b9-824b-442e-9beb-5001fa1a34ad/
Black,–,Four-wheel Drive,16–22,Gasoline,–,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ2TG3PEL04659,LM23255,15 mi.,2023 Lincoln Navigator Black Label,113330.0,$,https://www.cars.com/vehicledetail/e9f2316a-7bd8-4744-9d55-319f91ba722a/
Pure White,Titan Black,Front-wheel Drive,25–32,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,3VW6T7BU8LM105717,T23305A,"46,609 mi.",2020 Volkswagen Jetta GLI 2.0T S,23495.0,$,https://www.cars.com/vehicledetail/e8a1bbc2-01ff-493e-8783-1b8428609a3d/
Champagne Silver,Ebony / Mojave,Front-wheel Drive,17–24,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,1GNKRGKD9DJ239285,DJ239285,"104,319 mi.",2013 Chevrolet Traverse 1LT,9900.0,$,https://www.cars.com/vehicledetail/454f5a08-f897-4566-95f4-8bf5426e0ad4/
Celestial Silver Metallic,Birch,–,–,–,Automatic,4,5TDABAB63RS000218,RS000218,0 mi.,2024 Lexus TX 500h F SPORT PERFORMANCE PREMIUM TECHNOLOGY,74383.0,$,https://www.cars.com/vehicledetail/967f8be4-5ddb-4aea-b307-c76a51d1758d/
Silver Zynith,Global Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJKBG7P8861021,23J536,0 mi.,2023 Jeep Grand Cherokee L Limited,51005.0,$,https://www.cars.com/vehicledetail/8e36861b-2056-4196-8654-d13baf735bb6/
Mythos Black Metallic,Black / Express Red,All-wheel Drive,14–21,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WUA1CBF21PN907517,PN907517,18 mi.,2023 Audi RS 6 Avant 4.0T quattro,139440.0,$,https://www.cars.com/vehicledetail/638aae3b-d6f5-4707-ba41-4052a93f3144/
Summit White,Jet Black,Four-wheel Drive,18–20,Gasoline,Automatic,5.3L V8 16V GDI OHV,1GTRUAED8PZ303756,C1939,2 mi.,2023 GMC Sierra 1500 Pro,45988.0,$,https://www.cars.com/vehicledetail/f1ffdb1a-6406-45ad-a9ec-2e2908f7a934/
Wind Chill Pearl,Terracotta,All-wheel Drive,23–29,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,7MMVABEY9PN130238,PN130238,–,2023 Mazda CX-50 2.5 Turbo Premium Plus Package,43157.0,$,https://www.cars.com/vehicledetail/ce688be9-8734-4d6e-925a-8b7fb8827079/
Mythos Black Metallic,Arras Red,AWD,14–20,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WA1AWBF12PD039202,PD039202,3 mi.,2023 Audi SQ8 4.0T Premium Plus,109605.0,$,https://www.cars.com/vehicledetail/0354f06d-4b99-4d36-9d3e-4c6ee7d9f7bc/
Red,Black,Rear-wheel Drive,21–31,Gasoline,6-Speed Automatic,2.4L H4 16V PDI DOHC,JF1ZNBF17P8762408,TOY231400,48 mi.,2023 Toyota GR86 Premium,35496.0,$,https://www.cars.com/vehicledetail/9a6d6fbe-b147-42af-8ecc-055983a783f1/
Graphite Grey Metallic,Black/Sable Brown,Rear-wheel Drive,,,direct drive,Electric Motor,W1KCG2DB3PA023282,23648,53 mi.,2023 Mercedes-Benz EQS 450+ EQS 450+,109010.0,$,https://www.cars.com/vehicledetail/edcb31c5-a20c-4839-8726-f044db0ec2a6/
Onyx Black,Dark Walnut,Four-wheel Drive,–,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GT49REY9PF237314,PG540,4 mi.,2023 GMC Sierra 2500 Denali,83110.0,$,https://www.cars.com/vehicledetail/69730d10-726a-4c08-960b-0c9f6f4a42af/
Gray,–,Four-wheel Drive,18–22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TYCZ5AN8PT131523,PT131523R,5 mi.,2023 Toyota Tacoma ,42177.0,$,https://www.cars.com/vehicledetail/71decab7-83f5-40a8-bc37-1669e9bf7191/
Beige,–,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F17JA006685,P52532B,"86,383 mi.",2018 Honda Accord LX,14490.0,$,https://www.cars.com/vehicledetail/d6dd810b-ed9f-412f-869f-a4a532500486/
Black,Black,All-wheel Drive,21–30,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1KZF8EB0PB166666,PB166666,9 mi.,2023 Mercedes-Benz E-Class E 350 4MATIC,64730.0,$,https://www.cars.com/vehicledetail/9f87e180-55c3-4c8b-b471-f2e722aab866/
Ultra White,White,All-wheel Drive,19–26,Gasoline,Automatic,3.5L V6 24V PDI DOHC,JTHGZ1E20P5032138,C23485,6 mi.,2023 Lexus IS 350 F Sport,55020.0,$,https://www.cars.com/vehicledetail/979acf19-e922-4df4-8d83-c8d32b6493be/
Selenite Gray Metallic,Macchiato,All-wheel Drive,23–31,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1NKM4HB5PU020492,23M0608,1 mi.,2023 Mercedes-Benz GLC 300 Base 4MATIC,58915.0,$,https://www.cars.com/vehicledetail/808c74cf-6296-4be9-a310-0922c679e815/
Gray Metallic,Black Onyx,Four-wheel Drive,16–22,Gasoline,–,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ2LG7PEL09590,LM23258,22 mi.,2023 Lincoln Navigator Reserve,107640.0,$,https://www.cars.com/vehicledetail/3dfe9e9a-2970-4ced-9253-9b385d9a005e/
Area 51,Black Onyx,Four-wheel Drive,17–17,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5DP5PLB80110,3600110,7 mi.,2023 Ford Bronco Wildtrak,66800.0,$,https://www.cars.com/vehicledetail/6ac452e4-6a06-4cf5-8fe1-ac00210a3537/
Rhodium White Metallic,Black,All-wheel Drive,–,Hybrid,8-Speed Automatic,2.5L I4 16V GDI DOHC Hybrid,JM3KKEHA2R1129370,M249193,8 mi.,2024 Mazda CX-90 PHEV Premium Plus,57913.0,$,https://www.cars.com/vehicledetail/898a5c62-dc20-45af-99b5-ae40e6af581f/
Wine Red Metallic,Black,Front-wheel Drive,35–41,Gasoline,Automatic,"1.2L I-3 DOHC, MIVEC variable valve control, regular unleaded, e",ML32FUFJ1RHF00817,F00817,12 mi.,2024 Mitsubishi Mirage G4 LE,19555.0,$,https://www.cars.com/vehicledetail/9723699b-1a97-4117-86ae-1e870a32394b/
Brown,–,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFWA5EC7RX021648,TCV240048,4 mi.,2024 Toyota Tundra Limited,63002.0,$,https://www.cars.com/vehicledetail/71b832f9-02dd-4134-85bc-968ed2f906a1/
Radiant Red,Jet Black,Front-wheel Drive,18–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNERKKW5PJ312108,PJ312108,7 mi.,2023 Chevrolet Traverse Premier,49130.0,$,https://www.cars.com/vehicledetail/867b234e-39e9-49b1-ba89-6b8fef6d01e1/
Alta White,Black/Black,All-wheel Drive,22–28,Gasoline,Automatic,"2.5L I-4 port/direct injection, DOHC, variable valve control, in",5NMMADTB3RH003149,G925,0 mi.,2024 Genesis GV70 2.5T AWD,46785.0,$,https://www.cars.com/vehicledetail/e009e33f-2aad-4710-9463-c2ee20819a89/
Sterling Gray Metallic,Jet Black,Four-wheel Drive,0–0,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",2GC1YNE74R1119042,24010T,10 mi.,2024 Chevrolet Silverado 2500 LT,57941.0,$,https://www.cars.com/vehicledetail/c1130f17-203b-46aa-867b-5a300f67a594/
Labrador Black Pearl,Black,Four-wheel Drive,25–26,Gasoline,CVT,"1.5L I-4 gasoline direct injection, DOHC, MIVEC variable valve c",JA4ATWAA6RZ004966,PN1090,5 mi.,2024 Mitsubishi Eclipse Cross SEL,32655.0,$,https://www.cars.com/vehicledetail/efc011b0-22c4-47cf-a920-c075148000e1/
Velocity Blue Metallic,Black,Four-wheel Drive,19–22,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1EP5MFC11942,FPT264,"26,032 mi.",2021 Ford F-150 XLT,41495.0,$,https://www.cars.com/vehicledetail/a557e620-fa74-4161-91a1-633340121559/
Magnetite Gray Metallic,Gray,All-wheel Drive,28–33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC6PH246207,PH246207,"9,109 mi.",2023 Subaru Crosstrek Premium,30564.0,$,https://www.cars.com/vehicledetail/90d3825b-8964-4905-a6ba-bdb92f5f109c/
Iridescent Pearl Tricoat,Jet Black,Four-wheel Drive,15–19,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,1GNSKFKTXPR504985,235738,15 mi.,2023 Chevrolet Suburban Premier,76046.0,$,https://www.cars.com/vehicledetail/dd2912ee-c431-453c-9648-1aee1b7e0eff/
Sting Gray Clearcoat,Black,Four-wheel Drive,13–17,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4JJXSJXMW868963,T3551,"10,308 mi.",2021 Jeep Wrangler Unlimited Rubicon 392,68995.0,$,https://www.cars.com/vehicledetail/84de5302-5740-4c04-ae13-bfdfb0bbb684/
Ice Silver Metallic,Black,All-wheel Drive,23–30,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4BTGND7N3282305,D26225,"9,834 mi.",2022 Subaru Outback Limited XT,35025.0,$,https://www.cars.com/vehicledetail/399f801c-8c60-4b0a-a419-37920a0d3b85/
Radiant Red,Jet Black,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GNSKTKL5PR287568,M230403B,"11,412 mi.",2023 Chevrolet Tahoe High Country,80795.0,$,https://www.cars.com/vehicledetail/e1961b35-4f94-4ea8-9010-7620b9edae1f/
Black Clearcoat,Black,Four-wheel Drive,17–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4GJXAG2LW181152,10324Q,"16,337 mi.",2020 Jeep Wrangler Sport,32495.0,$,https://www.cars.com/vehicledetail/cdb69ad3-002b-4545-b67d-a515e7679562/
Onyx,Hotspur,All-wheel Drive,14–21,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAHT2ZV1PC018165,B2307,46 mi.,2023 Bentley Bentayga EWB Base,298875.0,$,https://www.cars.com/vehicledetail/09203ac4-2f30-40eb-b537-df9b57cb3bfc/
Diamond Black,Global Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4RJHET3N8557502,N8557502,"24,473 mi.",2022 Jeep Grand Cherokee Summit,57298.0,$,https://www.cars.com/vehicledetail/2682adfa-9b6d-434d-8e2f-446dd2e3f56c/
Long Beach Red Metallic Tintcoat,Jet Black,Rear-wheel Drive,15–22,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,1G1YU2D6XG5602427,C3181,"18,464 mi.",2016 Chevrolet Corvette Z06,79995.0,$,https://www.cars.com/vehicledetail/d534d061-0693-4d66-9f9f-af86431092ea/
White,–,Four-wheel Drive,0–0,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/122,SALWR2SU0NA797680,797680AN,"45,243 mi.",2022 Land Rover Range Rover Sport HSE Silver Edition,65480.0,$,https://www.cars.com/vehicledetail/4361f997-6359-47a2-a751-70134ffdeba5/
Still Night Pearl,Gray,Front-wheel Drive,27–37,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F09GA183264,KBB3179,"19,324 mi.",2016 Honda Accord EX,23991.0,$,https://www.cars.com/vehicledetail/9bf93cf6-7b80-4125-bcee-f5e99f6020c6/
